CustomerID,Gender,Age,MaritalStatus,Education,Income,Spent,CampaignChannel,CampaignType,Response,JoinDate,LastPurchaseDate
C0001,Male,47,Married,Master,50100,12469,Email,Discount,0,2019-08-03,2019-12-31
C0002,Female,26,Married,High School,76232,18752,Web Ads,Discount,0,2020-09-16,2021-07-15
C0003,Female,54,Divorced,High School,54650,12374,Email,New Product,0,2019-04-07,2019-05-17
C0004,Female,47,Married,High School,78593,12965,Email,Discount,0,2021-03-29,2021-09-25
C0005,Male,33,Married,Master,77507,10045,Email,Discount,0,2020-09-21,2021-09-20
C0006,Male,29,Married,Bachelor,47614,5850,Web Ads,Newsletter,0,2020-07-01,2021-01-31
C0007,Male,35,Married,Bachelor,30180,1582,Email,Discount,0,2019-12-03,2020-09-28
C0008,Female,35,Married,Bachelor,31450,3139,Phone,Loyalty Program,1,2019-12-25,2020-04-23
C0009,Female,50,Married,Master,47870,9275,Social Media,New Product,0,2022-08-06,2022-10-22
C0010,Female,61,Single,Bachelor,88344,15082,Web Ads,New Product,0,2022-11-20,2023-05-31
C0011,Male,44,Married,Bachelor,53841,12560,Web Ads,Loyalty Program,0,2021-03-26,2021-10-17
C0012,Female,32,Married,High School,62178,3730,Phone,New Product,1,2019-12-26,2020-05-09
C0013,Female,25,Married,Bachelor,79550,6447,Web Ads,Discount,0,2021-10-11,2022-04-13
C0014,Male,63,Married,Master,61654,12814,Social Media,Discount,0,2019-12-13,2020-09-09
C0015,Male,28,Married,PhD,61138,7440,Web Ads,Loyalty Program,0,2022-02-21,2022-12-13
C0016,Male,64,Married,High School,69339,5108,Email,Discount,0,2020-07-05,2020-12-16
C0017,Male,55,Married,High School,64334,16037,Email,Discount,0,2020-06-21,2020-09-07
C0018,Female,62,Single,High School,58507,12137,Social Media,Newsletter,0,2020-10-15,2021-02-09
C0019,Male,39,Single,Bachelor,49178,6479,Social Media,Newsletter,0,2020-02-26,2020-04-10
C0020,Male,37,Single,Master,61177,13132,Social Media,Discount,0,2019-12-02,2020-01-24
C0021,Female,62,Married,High School,76415,14222,Social Media,Discount,0,2019-02-26,2019-07-28
C0022,Male,40,Married,Bachelor,86730,18039,Social Media,Loyalty Program,0,2021-10-13,2022-05-21
C0023,Male,23,Married,Bachelor,64384,13716,Social Media,Loyalty Program,0,2021-06-30,2022-04-20
C0024,Male,69,Married,High School,71327,4775,Email,Discount,0,2020-12-17,2021-01-01
C0025,Female,52,Married,Bachelor,64045,11181,Web Ads,Discount,0,2022-01-04,2022-08-19
C0026,Female,46,Single,High School,58690,3014,Web Ads,Loyalty Program,0,2023-01-29,2023-03-06
C0027,Male,26,Married,Bachelor,67713,3974,Web Ads,Newsletter,0,2019-10-12,2020-06-04
C0028,Female,25,Married,Master,77839,17964,Social Media,Loyalty Program,0,2020-12-22,2021-10-11
C0029,Female,34,Single,Bachelor,46704,7263,Social Media,Discount,0,2020-01-21,2020-03-26
C0030,Male,37,Single,High School,38229,7538,Web Ads,New Product,0,2021-08-07,2022-06-22
C0031,Female,51,Single,PhD,52004,11321,Web Ads,New Product,0,2021-02-08,2022-01-19
C0032,Male,30,Single,Bachelor,63174,15156,Phone,Discount,0,2022-07-06,2022-10-28
C0033,Male,39,Married,Master,73048,16353,Social Media,Discount,0,2021-04-19,2021-05-16
C0034,Female,43,Single,High School,45157,6622,Social Media,Discount,0,2019-01-11,2019-08-13
C0035,Female,34,Married,High School,22671,2656,Phone,New Product,1,2021-08-29,2021-10-20
C0036,Female,67,Married,High School,52358,4235,Email,New Product,0,2020-11-02,2021-02-08
C0037,Male,26,Married,High School,57091,7425,Social Media,Loyalty Program,1,2019-09-17,2019-12-09
C0038,Male,40,Divorced,Bachelor,42565,5248,Web Ads,Loyalty Program,0,2020-01-28,2020-07-12
C0039,Female,61,Married,Master,48658,7878,Phone,Newsletter,0,2020-08-22,2021-05-24
C0040,Male,45,Married,Bachelor,73009,13368,Social Media,Loyalty Program,0,2022-10-24,2023-03-16
C0041,Male,63,Divorced,High School,61171,15027,Social Media,Discount,0,2022-04-22,2022-07-29
